,koi_pdisposition,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_teq,koi_insol,koi_dor,koi_num_transits,koi_steff,koi_slogg,koi_srad,koi_smass
5101,1,0.186,7.999,274.5,0.014886000000000002,0.7862399999999999,2.36,564.0,23.9,45.8,28.0,5332.0,4.083,1.453,0.932
5102,1,1.28,1.3521,3746.0,0.358073,10.899560000000001,36.05,506.0,15.46,87.5,31.0,5252.0,4.428,0.922,0.83
5103,0,1.217,6.3064,1211.9,0.25857199999999997,0.01218,75.22,1192.0,476.13,3.86,144.0,5092.0,3.6889999999999996,2.664,1.265
5104,0,1.243,1.41864,14259.0,0.405613,0.9708600000000001,48.01,1979.0,3648.49,3.55,662.0,5758.0,4.3069999999999995,1.084,0.869
5105,0,0.015,4.169,218.9,0.013861000000000002,0.24115999999999999,3.74,3191.0,24558.81,3.5943,532.0,9174.0,4.013,2.471,2.294
5106,0,0.331,0.86,120.7,0.010278,9.34324,0.82,1718.0,2064.49,6.8,1630.0,5575.0,4.5569999999999995,0.733,0.706
5107,0,0.987,4.8783,97653.0,0.48086899999999994,0.17734,67.0,2089.0,4487.7,1.9182,897.0,5510.0,4.186,1.276,0.911
5108,0,0.869,23.626,2911.5,0.056948,0.02249,5.04,318.0,2.41,31.38,7.0,5985.0,4.574,0.811,0.91
5109,1,0.111,1.7704,867.2,0.026067,6.31698,1.86,787.0,91.01,17.21,342.0,4518.0,4.613,0.653,0.639
5110,1,1.227,4.77,942.8,0.259869,0.13815,29.77,464.0,11.0,35.1,16.0,6228.0,4.441,1.049,1.107
5111,0,1.186,2.3135,316.4,0.203697,0.02982,23.42,1729.0,2106.67,1.641,802.0,6444.0,4.433,1.053,1.094
5112,0,6.282,5.355,25450.0,5.442474,1.36751,594.32,1005.0,241.6,13.66,82.0,5780.0,4.438,1.0,1.0
5113,0,0.025,6.596,195.4,0.012681,0.12157000000000001,1.24,1106.0,354.22,4.599,175.0,5646.0,4.449,0.896,0.825
5114,0,0.7071,39.098,655.3,0.025021,0.00114,2.66,668.0,46.95,2.575,385.00676798860127,5575.0,4.496,0.972,1.08
5115,0,1.33,2.4345,2829.7,0.387996,0.11868,59.57,1708.0,2007.56,3.388,545.0,6184.0,4.138,1.406,0.991
